Combinado,Floral,Generico,Geometrico,Liso,Precio,Ventas
0,1,0,0,0,331.00,200
0,0,0,0,1,226.00,1000
0,0,0,0,1,257.00,1000
0,0,0,0,1,505.00,1000
1,0,0,0,0,595.00,10
0,0,0,0,1,378.00,10
0,0,0,0,1,442.00,1000
0,0,0,0,1,621.00,10
1,0,0,0,0,512.00,1000
0,0,0,0,1,710.00,1000
0,0,0,0,1,226.00,100
0,0,0,0,1,297.00,1000
0,0,0,0,1,448.00,1000
0,0,0,0,1,349.00,1000
0,0,0,0,1,285.00,1000
0,0,0,1,0,530.00,1000
0,0,0,0,1,531.00,1000
0,0,0,0,1,319.00,30
0,0,0,0,1,246.00,90
0,0,0,1,0,487.00,1000
0,0,0,1,0,587.00,1000
0,0,0,1,0,427.00,1000
0,0,0,0,1,511.00,1000
0,0,0,0,1,246.00,10
1,0,0,0,0,563.00,1000
0,1,0,0,0,670.00,1000
0,0,0,0,1,288.00,1000
0,0,0,0,1,530.00,1000
0,0,0,0,1,311.00,30
0,0,0,0,1,453.00,1000
0,0,0,0,1,531.00,1000
0,0,0,0,1,389.00,1000
0,0,0,0,1,396.00,1000
0,0,0,0,1,549.00,1000
0,0,0,0,1,382.00,1000
0,0,0,0,1,340.00,1000
0,0,0,0,1,364.00,10
0,0,0,0,1,349.00,1000
0,0,0,0,1,366.00,1000
0,0,0,0,1,344.00,1000
1,0,0,0,0,530.00,1000
0,1,0,0,0,279.00,1000
0,0,0,0,1,527.00,1000
0,0,0,0,1,448.00,1000
0,0,0,0,1,265.00,1000
0,0,0,1,0,452.00,40
0,0,0,0,1,244.00,60
0,0,0,0,1,290.00,20
0,0,0,0,1,298.00,1000
0,0,0,0,1,541.00,1000
0,0,0,0,1,389.00,100
0,0,0,0,1,428.00,1000
1,0,0,0,0,600.00,1000
0,0,0,0,1,441.00,1000
0,0,0,0,1,262.00,20
0,0,0,0,1,426.00,1000
0,1,0,0,0,363.00,10
0,0,0,1,0,451.00,10
0,0,0,0,1,354.00,1000
0,0,0,0,1,369.00,10
0,0,0,0,1,232.00,10
0,0,0,0,1,603.00,1000
0,0,0,1,0,411.00,10
0,0,0,1,0,835.00,60
0,0,0,0,1,214.00,1000
0,0,0,0,1,331.00,30
0,0,0,1,0,449.00,1000
0,0,0,0,1,422.00,1000
0,0,0,0,1,529.00,1000
0,0,0,0,1,544.00,1000
0,0,0,0,1,473.00,20
0,0,0,0,1,614.00,1000
1,0,0,0,0,321.00,1000
0,0,0,0,1,393.00,10
1,0,0,0,0,348.00,1000
1,0,0,0,0,417.00,1000
0,0,0,0,1,439.00,1000
0,0,0,0,1,531.00,1000
0,0,0,0,1,307.00,10
0,0,0,0,1,490.00,1000
1,0,0,0,0,516.00,1000
0,0,0,0,1,282.00,1000
0,0,0,1,0,336.00,1000
0,0,0,0,1,267.00,10
0,0,0,0,1,287.00,1000
0,0,0,0,1,585.00,1000
0,0,0,0,1,510.00,10
0,0,0,0,1,318.00,1000
1,0,0,0,0,624.00,1000
0,0,0,0,1,445.00,1000
0,0,0,0,1,429.00,20
0,0,0,0,1,379.00,1000
0,0,0,0,1,341.00,10
0,0,0,0,1,412.00,60
0,0,0,0,1,382.00,40
0,0,0,0,1,306.00,10
0,0,0,0,1,536.00,1000
1,0,0,0,0,267.00,1000
0,0,0,1,0,264.00,10
0,0,0,0,1,384.00,30
0,0,0,1,0,698.00,1000
0,0,0,1,0,441.00,1000
0,0,0,0,1,583.00,20
0,0,0,0,1,303.00,1000
0,0,0,0,1,526.00,1000
1,0,0,0,0,688.00,1000
0,0,0,1,0,237.00,1000
0,0,0,0,1,357.00,10
0,0,0,0,1,513.00,1000
0,0,0,0,1,305.00,1000
0,0,0,0,1,308.00,60
0,0,0,0,1,541.00,1000
0,0,0,0,1,328.00,1000
0,0,0,0,1,427.00,1000
1,0,0,0,0,201.00,1000
0,0,0,0,1,231.00,10
0,0,0,0,1,317.00,100
0,0,0,0,1,379.00,10
1,0,0,0,0,300.00,10
0,0,0,0,1,211.00,100
1,0,0,0,0,321.00,1000
0,0,0,0,1,518.00,10
0,0,0,0,1,579.00,1000
0,0,0,0,1,593.00,1000
0,0,0,0,1,288.00,1000
0,0,0,0,1,460.00,1000
0,0,0,0,1,563.00,50
0,0,0,0,1,310.00,10
0,0,0,0,1,300.00,1000
0,0,0,0,1,237.00,1000
0,0,0,0,1,255.00,1000
0,0,0,0,1,550.00,1000
0,0,0,0,1,404.00,40
0,0,0,0,1,247.00,10
1,0,0,0,0,396.00,1000
0,0,0,0,1,297.00,50
1,0,0,0,0,602.00,1000
0,0,0,0,1,220.00,30
0,0,0,0,1,326.00,70
0,0,0,0,1,225.00,40
0,0,0,0,1,488.00,1000
0,0,0,0,1,238.00,1000
1,0,0,0,0,351.00,1000
0,0,0,0,1,285.00,1000
0,0,0,0,1,311.00,100
0,0,0,0,1,304.00,10
0,0,0,0,1,317.00,10
0,0,0,0,1,323.00,1000
0,0,0,0,1,406.00,1000
0,0,0,0,1,556.00,1000
1,0,0,0,0,432.00,1000
0,0,0,0,1,470.00,1000
0,0,0,0,1,501.00,1000
0,0,0,0,1,313.00,50
0,0,0,0,1,412.00,70
0,0,0,0,1,699.00,1000
0,0,0,0,1,304.00,1000
1,0,0,0,0,330.00,1000
0,0,0,0,1,588.00,1000
1,0,0,0,0,323.00,10
0,0,0,0,1,348.00,30
0,0,0,0,1,300.00,1000
0,0,0,0,1,206.00,1000
0,0,0,0,1,490.00,40
0,0,0,0,1,358.00,1000
0,0,0,0,1,278.00,1000
0,0,0,1,0,331.00,200
0,0,0,0,1,479.00,30
0,0,0,1,0,249.00,1000
0,0,0,1,0,413.00,1000
0,0,0,1,0,246.00,20
1,0,0,0,0,358.00,30
0,0,0,1,0,596.00,1000
0,1,0,0,0,316.00,1000
0,0,0,0,1,263.00,70
0,0,0,0,1,509.00,1000
0,0,0,0,1,237.00,100
0,0,0,0,1,325.00,1000
0,0,0,0,1,351.00,1000
0,0,0,0,1,597.00,20
0,0,0,1,0,270.00,20
0,0,0,0,1,263.00,100
0,0,0,0,1,142.00,20
0,0,0,0,1,438.00,1000
0,0,0,0,1,250.00,10
0,0,0,0,1,551.00,1000
0,0,0,0,1,407.00,10
0,0,0,0,1,316.00,1000
0,0,0,0,1,364.00,1000
0,0,1,0,0,353.00,1000
0,0,0,0,1,355.00,1000
0,0,1,0,0,316.00,10
0,0,0,1,0,399.00,1000
0,0,0,0,1,330.00,1000
0,0,0,0,1,332.00,1000
0,0,0,0,1,651.00,1000
0,0,0,0,1,320.00,50
0,0,0,0,1,318.00,10
0,0,0,0,1,737.00,1000
0,0,0,0,1,373.00,20
0,0,0,0,1,559.00,1000
0,0,0,0,1,522.00,1000
1,0,0,0,0,261.00,1000
0,0,0,0,1,377.00,1000
0,0,0,0,1,621.00,1000
0,1,0,0,0,579.00,1000
0,0,0,0,1,363.00,40
0,0,0,0,1,323.00,1000
0,0,0,0,1,483.00,1000
0,0,0,0,1,227.00,1000
1,0,0,0,0,522.00,1000
0,0,0,0,1,479.00,1000
0,0,0,0,1,386.00,1000
0,0,0,0,1,466.00,1000
0,0,0,1,0,653.00,1000
0,1,0,0,0,376.00,1000
0,0,0,0,1,380.00,10
1,0,0,0,0,354.00,1000
0,0,0,0,1,464.00,1000
0,0,0,0,1,465.00,1000
0,1,0,0,0,309.00,1000
0,0,0,0,1,328.00,1000
0,0,0,0,1,417.00,1000
0,0,0,0,1,464.00,1000
0,0,0,0,1,413.00,1000
0,0,0,0,1,325.00,1000
0,0,0,0,1,409.00,20
0,0,0,1,0,173.74,700
0,0,0,0,1,257.48,600
0,1,0,0,0,195.00,13
0,1,0,0,0,325.00,600
0,0,0,1,0,217.91,300
1,0,0,0,0,158.00,20
0,0,0,0,1,675.00,1000
0,1,0,0,0,221.00,19
0,1,0,0,0,289.52,600
0,0,0,0,1,189.00,800
0,1,0,0,0,121.36,80
0,0,0,1,0,197.89,600
0,0,0,1,0,168.63,900
0,1,0,0,0,208.00,800
0,0,1,0,0,362.81,400
0,0,0,0,1,168.00,12
0,0,0,0,1,473.00,100
0,0,0,0,1,186.00,300
0,0,0,0,1,184.00,1000
0,1,0,0,0,219.00,900
0,0,0,1,0,147.90,200
0,1,0,0,0,374.00,100
0,0,0,0,1,243.00,300
0,1,0,0,0,197.83,16
0,0,0,0,1,379.10,300
0,0,1,0,0,256.96,300
1,0,0,0,0,196.37,300
0,0,0,1,0,349.67,200
0,1,0,0,0,191.26,20
0,0,0,0,1,154.76,700
0,0,0,1,0,257.00,1000
0,0,1,0,0,89.00,600
0,0,0,0,1,507.00,400
0,0,0,0,1,370.00,100
0,0,1,0,0,232.54,400
0,1,0,0,0,343.00,80
0,0,0,0,1,358.43,50
0,1,0,0,0,443.00,700
1,0,0,0,0,199.00,200
0,1,0,0,0,183.00,200
0,1,0,0,0,304.15,700
0,0,0,1,0,193.00,400
0,1,0,0,0,344.00,1000
0,0,1,0,0,189.00,500
0,1,0,0,0,178.50,80
1,0,0,0,0,392.00,300
0,0,1,0,0,265.50,400
0,0,1,0,0,198.00,900
0,1,0,0,0,627.00,1000
0,0,1,0,0,259.00,100
0,0,1,0,0,92.40,500
1,0,0,0,0,214.00,500
0,0,1,0,0,350.00,100
0,1,0,0,0,195.00,40
0,0,1,0,0,221.19,11
0,0,1,0,0,357.00,400
0,0,1,0,0,173.00,200
0,0,1,0,0,344.96,300
0,1,0,0,0,342.65,90
0,0,0,1,0,241.00,100
0,1,0,0,0,194.00,600
0,0,1,0,0,372.80,600
0,0,0,1,0,227.92,100
0,1,0,0,0,93.00,60
0,0,1,0,0,365.75,100
0,1,0,0,0,349.60,400
0,0,0,1,0,243.20,800
0,0,1,0,0,226.38,300
0,0,0,1,0,281.78,400
0,0,1,0,0,492.00,50
0,0,0,1,0,303.00,100
0,1,0,0,0,166.00,14
0,0,1,0,0,407.00,1000
0,0,1,0,0,199.43,100
0,0,1,0,0,401.00,100
0,0,1,0,0,291.00,200
0,1,0,0,0,228.69,400
0,0,1,0,0,417.00,100
1,0,0,0,0,353.00,1000
1,0,0,0,0,159.12,20
0,0,1,0,0,241.01,300
0,0,1,0,0,389.09,80
0,1,0,0,0,463.00,400
0,0,1,0,0,202.00,200
0,0,1,0,0,295.00,400
0,0,1,0,0,75.00,100
0,1,0,0,0,154.76,16
0,1,0,0,0,313.39,700
0,0,1,0,0,412.80,400
1,0,0,0,0,197.00,100
0,0,1,0,0,278.00,10
0,0,1,0,0,183.23,100
1,0,0,0,0,227.15,100
1,0,0,0,0,294.14,200
0,1,0,0,0,178.85,10
0,1,0,0,0,390.00,100
0,0,1,0,0,177.00,20
1,0,0,0,0,244.80,300
0,0,1,0,0,333.00,200
0,0,1,0,0,330.33,200
0,1,0,0,0,338.00,100
0,0,1,0,0,300.03,300
0,0,0,1,0,352.00,70
0,0,1,0,0,267.96,80
0,0,1,0,0,288.75,300
0,1,0,0,0,211.70,200
0,0,1,0,0,244.13,10
0,0,1,0,0,189.00,300
0,1,0,0,0,500.00,1000
0,0,0,1,0,234.85,300
0,1,0,0,0,385.00,300
0,1,0,0,0,308.06,600
0,1,0,0,0,254.00,100
0,0,1,0,0,175.20,100
1,0,0,0,0,303.00,1000
0,0,1,0,0,277.00,300
0,0,1,0,0,299.00,200
0,0,1,0,0,389.82,60
1,0,0,0,0,272.00,200
1,0,0,0,0,233.00,400
0,1,0,0,0,390.00,100
1,0,0,0,0,244.80,300
0,0,0,1,0,236.00,100
0,1,0,0,0,333.41,300
0,0,1,0,0,333.00,200
0,0,1,0,0,330.33,200
0,1,0,0,0,338.00,100
0,0,1,0,0,300.03,300
0,0,0,1,0,352.00,70
0,0,1,0,0,267.96,80
0,0,1,0,0,288.75,300
0,1,0,0,0,211.70,200
0,0,1,0,0,184.63,70
0,0,1,0,0,244.13,10
0,0,1,0,0,196.52,40
0,0,1,0,0,189.00,300
0,0,0,1,0,234.85,300
0,1,0,0,0,385.00,300
0,1,0,0,0,308.06,600
0,1,0,0,0,254.00,100
0,0,1,0,0,175.20,100
0,0,1,0,0,277.00,300
0,0,1,0,0,299.00,200
0,0,1,0,0,389.82,60
1,0,0,0,0,284.00,300
0,0,1,0,0,464.00,70
1,0,0,0,0,272.00,200
1,0,0,0,0,233.00,400
0,0,1,0,0,195.00,20
0,1,0,0,0,187.00,200
0,1,0,0,0,232.87,500
0,0,1,0,0,370.00,100
0,0,1,0,0,221.00,200
0,0,0,1,0,175.00,200
0,0,0,1,0,215.60,200
0,1,0,0,0,254.00,100
0,0,1,0,0,299.00,300
0,0,1,0,0,188.65,500
0,0,1,0,0,246.40,100
0,0,1,0,0,276.00,90
0,0,1,0,0,350.40,60
0,0,1,0,0,215.20,300
0,1,0,0,0,626.00,200
0,1,0,0,0,458.00,90
0,0,1,0,0,183.00,100
0,1,0,0,0,375.30,700
0,0,1,0,0,208.78,200
1,0,0,0,0,199.20,400
0,1,0,0,0,290.00,100
0,0,1,0,0,278.13,200
0,0,0,1,0,258.00,200
0,0,1,0,0,210.00,10
0,0,1,0,0,203.00,200
0,1,0,0,0,148.80,300
0,1,0,0,0,274.00,200
0,0,1,0,0,243.00,1000
0,0,1,0,0,273.00,100
0,0,1,0,0,458.15,200
0,0,1,0,0,392.00,40
0,0,1,0,0,220.99,200
0,1,0,0,0,164.00,400
0,0,1,0,0,176.66,18
0,0,1,0,0,307.20,600
0,0,1,0,0,309.00,90
0,1,0,0,0,310.00,100
0,1,0,0,0,661.00,100
0,0,1,0,0,469.80,200
0,0,1,0,0,281.78,200
0,0,1,0,0,221.00,500
0,0,1,0,0,297.00,40
0,0,1,0,0,248.00,100
1,0,0,0,0,176.00,1000
0,0,1,0,0,164.25,23
0,0,1,0,0,279.00,600
0,0,1,0,0,294.00,200
0,0,1,0,0,473.00,1000
0,0,1,0,0,98.00,100
0,1,0,0,0,207.00,200
0,0,0,1,0,195.00,300
0,1,0,0,0,394.00,70
0,0,0,1,0,324.17,80
0,0,0,1,0,278.00,300
0,0,1,0,0,367.00,200
0,0,1,0,0,166.00,600
0,0,1,0,0,299.00,100
0,0,1,0,0,541.00,50
0,0,1,0,0,408.87,100
0,1,0,0,0,410.00,70
0,0,1,0,0,279.00,300
0,0,1,0,0,247.94,100
0,0,1,0,0,234.08,200
0,0,1,0,0,433.00,100
0,0,1,0,0,248.00,200
0,0,1,0,0,460.63,300
0,0,1,0,0,612.92,900
0,1,0,0,0,265.00,100
0,0,1,0,0,252.00,300
0,1,0,0,0,357.00,200
0,0,1,0,0,224.00,15
0,0,1,0,0,181.72,13
0,0,1,0,0,366.00,100
0,0,1,0,0,434.28,50
0,0,0,1,0,492.00,1000
0,0,1,0,0,258.40,200
0,0,1,0,0,288.15,30
0,0,1,0,0,365.00,100
0,0,1,0,0,328.02,90
0,0,1,0,0,575.00,100
0,1,0,0,0,263.00,400
0,1,0,0,0,386.00,100
0,0,0,1,0,363.00,100
0,0,1,0,0,487.41,100
0,0,0,1,0,290.00,200
0,0,1,0,0,142.45,700
1,0,0,0,0,191.20,400
0,0,1,0,0,162.79,19
0,0,1,0,0,387.00,90
0,0,0,1,0,463.00,100
0,0,1,0,0,341.64,80
0,0,1,0,0,266.00,70
0,0,1,0,0,577.00,1000
0,0,1,0,0,184.63,70
0,0,1,0,0,427.00,50
0,0,1,0,0,349.00,50
0,0,1,0,0,464.00,70
0,0,1,0,0,342.00,1000
1,0,0,0,0,214.00,1000
0,1,0,0,0,458.00,90
0,0,1,0,0,210.00,10
0,0,1,0,0,392.00,40
0,0,1,0,0,309.00,90
0,0,1,0,0,702.00,1000
1,0,0,0,0,314.00,10
0,0,1,0,0,524.00,10
0,0,1,0,0,473.00,1000
0,0,1,0,0,311.85,20
0,0,1,0,0,349.00,300
0,0,1,0,0,267.00,1000
0,0,1,0,0,267.96,200
0,0,1,0,0,291.00,30
0,0,1,0,0,548.00,100
0,1,0,0,0,410.00,70
0,0,0,1,0,492.00,1000
0,0,1,0,0,267.00,1000
0,0,1,0,0,288.15,30
0,0,1,0,0,487.41,100
0,1,0,0,0,258.00,90
0,1,0,0,0,436.00,70
0,0,1,0,0,490.00,100
0,0,1,0,0,294.95,1000
1,0,0,0,0,"1,050.00",1000
0,0,1,0,0,267.20,100
0,0,1,0,0,343.00,80
0,1,0,0,0,221.76,800
0,0,1,0,0,339.45,10
0,0,0,1,0,306.00,1000
1,0,0,0,0,216.08,41
0,1,0,0,0,291.06,900
0,1,0,0,0,246.01,800
0,0,1,0,0,266.00,300
0,0,1,0,0,275.00,200
1,0,0,0,0,374.00,1000
0,0,0,1,0,235.00,28
0,0,1,0,0,184.03,25
0,0,1,0,0,164.00,500
0,0,1,0,0,349.58,900
0,1,0,0,0,303.00,600
0,0,1,0,0,404.00,1000
0,1,0,0,0,532.07,200
0,1,0,0,0,471.58,600
0,0,1,0,0,259.15,800
0,1,0,0,0,164.78,10
0,0,0,1,0,281.35,100
1,0,0,0,0,455.00,1000
0,0,1,0,0,298.57,10
0,0,1,0,0,142.45,100
0,1,0,0,0,264.26,700
0,0,1,0,0,363.00,100
0,0,1,0,0,171.00,300
1,0,0,0,0,312.00,1000
0,0,1,0,0,328.02,600
1,0,0,0,0,157.68,16
0,1,0,0,0,184.03,300
0,0,1,0,0,177.87,900
0,0,1,0,0,295.00,200
0,0,1,0,0,"1,260.00",1000
1,0,0,0,0,187.88,800
0,0,0,1,0,132.00,200
0,0,1,0,0,261.00,13
0,1,0,0,0,204.00,300
0,0,0,1,0,223.20,300
0,0,1,0,0,404.00,1000
0,1,0,0,0,283.00,400
0,0,1,0,0,318.78,50
0,0,1,0,0,196.52,40
0,0,1,0,0,247.00,400
0,0,1,0,0,537.00,100
1,0,0,0,0,234.00,1000
0,0,0,1,0,263.00,400
0,0,0,1,0,161.70,39
0,0,1,0,0,297.00,400
0,0,1,0,0,220.99,600
0,0,1,0,0,299.30,400
0,1,0,0,0,362.00,1000
0,0,1,0,0,167.90,900
0,0,0,1,0,216.81,300
0,0,0,1,0,256.41,500
1,0,0,0,0,226.30,12
0,0,0,1,0,284.90,100
0,0,1,0,0,237.00,1000
0,0,1,0,0,238.71,12
0,0,0,1,0,180.00,900
0,0,1,0,0,411.18,200
0,1,0,0,0,178.64,400
0,0,1,0,0,255.75,21
0,1,0,0,0,500.00,1000
0,0,0,1,0,351.00,300
0,1,0,0,0,356.00,200
0,0,1,0,0,224.11,600
0,0,1,0,0,152.55,300
0,1,0,0,0,253.33,300
0,0,1,0,0,375.00,1000
1,0,0,0,0,286.44,100
0,0,0,1,0,246.00,30
0,0,1,0,0,321.00,200
0,0,1,0,0,207.00,10
0,0,1,0,0,195.64,600
0,1,0,0,0,280.00,1000
1,0,0,0,0,250.00,600
1,0,0,0,0,193.00,100
0,1,0,0,0,251.02,90
0,1,0,0,0,233.00,300
0,1,0,0,0,392.70,200
0,0,0,1,0,358.00,1000
0,0,0,1,0,193.45,500
0,0,0,1,0,337.00,300
0,0,1,0,0,376.68,200
0,1,0,0,0,516.00,100
0,1,0,0,0,314.16,600
1,0,0,0,0,270.00,1000
0,0,0,1,0,393.30,200
0,1,0,0,0,192.50,200
0,0,1,0,0,312.44,300
0,0,1,0,0,358.05,200
0,1,0,0,0,204.00,300
0,0,1,0,0,559.00,1000
0,0,1,0,0,276.00,16
0,0,1,0,0,194.25,10
0,0,1,0,0,320.32,700
0,0,1,0,0,217.14,100
1,0,0,0,0,249.48,200
0,1,0,0,0,473.00,1000
0,1,0,0,0,262.07,200
0,0,1,0,0,209.00,200
0,0,1,0,0,373.00,400
1,0,0,0,0,335.00,400
0,0,1,0,0,176.00,600
0,1,0,0,0,809.00,1000
0,0,0,1,0,260.10,300
0,0,0,1,0,175.20,400
0,1,0,0,0,190.96,300
0,0,1,0,0,335.00,60
0,0,1,0,0,286.00,80
0,0,1,0,0,"5,426.00",1000
1,0,0,0,0,300.76,100
1,0,0,0,0,220.00,500
0,0,1,0,0,268.60,800
0,0,1,0,0,173.00,10
1,0,0,0,0,169.40,100
0,0,1,0,0,563.00,1000
0,1,0,0,0,275.66,400
0,0,1,0,0,262.00,700
0,0,1,0,0,253.00,100
0,0,1,0,0,543.00,100
0,0,1,0,0,456.00,100
0,1,0,0,0,563.00,1000
0,0,1,0,0,217.91,400
0,1,0,0,0,442.00,200
0,0,1,0,0,257.00,300
1,0,0,0,0,260.61,200
0,0,1,0,0,756.00,100
0,1,0,0,0,296.00,1000
0,0,1,0,0,330.00,600
0,0,1,0,0,327.20,600
0,0,1,0,0,606.00,70
0,1,0,0,0,160.00,10
0,0,1,0,0,353.00,100
0,0,1,0,0,408.00,1000
0,1,0,0,0,399.63,100
0,1,0,0,0,258.00,300
0,0,1,0,0,371.57,100
1,0,0,0,0,277.00,300
0,1,0,0,0,193.00,200
0,0,1,0,0,374.00,1000
0,0,0,1,0,224.84,800
0,0,1,0,0,420.00,50
0,0,1,0,0,229.22,700
0,1,0,0,0,267.00,70
0,1,0,0,0,246.00,300
0,0,1,0,0,432.00,1000
1,0,0,0,0,337.50,200
0,0,1,0,0,187.00,400
0,0,1,0,0,232.80,700
0,0,1,0,0,155.20,100
0,0,1,0,0,185.00,500
0,0,1,0,0,389.00,1000
0,0,1,0,0,365.00,200
0,1,0,0,0,192.00,400
0,0,1,0,0,200.90,600
0,0,1,0,0,197.00,200
0,0,0,1,0,203.67,100
0,1,0,0,0,462.00,1000
0,0,1,0,0,151.69,400
0,1,0,0,0,295.68,50
0,0,0,1,0,282.00,100
0,0,1,0,0,217.00,200
0,0,1,0,0,268.73,14
1,0,0,0,0,432.00,1000
0,1,0,0,0,191.00,100
1,0,0,0,0,197.00,900
0,1,0,0,0,257.95,100
0,0,1,0,0,531.00,100
0,0,1,0,0,252.00,200
1,0,0,0,0,242.00,1000
0,0,1,0,0,252.00,400
0,1,0,0,0,169.00,100
0,1,0,0,0,423.00,100
0,1,0,0,0,410.00,100
0,1,0,0,0,248.71,80
0,0,1,0,0,216.00,1000
0,0,0,1,0,294.14,100
0,0,1,0,0,290.00,400
1,0,0,0,0,225.61,300
0,0,1,0,0,277.95,700
0,1,0,0,0,258.00,300
0,1,0,0,0,589.00,1000
0,1,0,0,0,273.00,700
0,0,1,0,0,219.00,900
1,0,0,0,0,291.27,600
0,0,1,0,0,676.00,300
0,1,0,0,0,251.79,100
0,0,1,0,0,375.00,1000
0,0,1,0,0,299.00,200
0,0,1,0,0,272.00,100
0,0,1,0,0,177.39,200
0,0,1,0,0,252.00,100
0,0,1,0,0,280.00,100
0,0,1,0,0,630.00,1000
0,0,1,0,0,328.79,100
0,0,1,0,0,396.00,60
1,0,0,0,0,341.00,200
0,0,1,0,0,380.00,80
1,0,0,0,0,206.00,80
0,1,0,0,0,501.00,1000
0,1,0,0,0,200.00,900
1,0,0,0,0,322.63,200
0,1,0,0,0,183.00,100
0,0,1,0,0,493.00,400
0,0,1,0,0,113.90,700
0,0,1,0,0,404.00,1000
0,1,0,0,0,264.11,200
0,0,1,0,0,437.00,300
0,0,1,0,0,332.00,40
0,0,1,0,0,395.00,100
1,0,0,0,0,553.00,60
0,0,0,1,0,278.00,1000
0,0,1,0,0,209.00,300
0,0,1,0,0,210.24,600
0,1,0,0,0,243.09,100
1,0,0,0,0,203.67,200
0,1,0,0,0,382.00,200
1,0,0,0,0,357.00,1000
0,0,1,0,0,339.20,11
0,0,1,0,0,793.00,40
0,0,1,0,0,198.00,100
0,0,0,1,0,156.00,13
1,0,0,0,0,177.87,10
1,0,0,0,0,234.00,1000
